上海频道,#genre#
甘肃卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221228166/index.m3u8
云南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221228169/index.m3u8
海南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221228139/index.m3u8
新疆卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221228290/index.m3u8
四川卫视,http://223.110.236.27/ott.js.chinamobile.com/PLTV/3/224/3221228171/index.m3u8
贵州卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221228136/index.m3u8
冬奥纪实,http://ott.js.chinamobile.com/PLTV/3/224/3221227711/index.m3u8
东方卫视,http://39.135.32.29:6610/000000001000/1000000001000030202/1.m3u8?
东方卫视,http://117.148.179.160/PLTV/88888888/224/3221231738/index.m3u8
东方卫视,http://39.134.134.84/000000001000/1000000001000030202/index.m3u8?channel-id=ystenlive
东方卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225752/1/index.m3u8?fmt=ts2hls
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视,http://39.134.39.39/TVOD/88888888/224/3221226155/index.m3u8
东方卫视,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil
湖南卫视,http://183.207.248.71:80/cntv/live1/hunanstv/hunanstv
湖南卫视,http://117.148.179.37/PLTV/88888888/224/3221228824/index.m3u8
湖南卫视,http://39.134.134.84/000000001000/1000000001000009115/index.m3u8?channel-id=ystenlive
湖南卫视,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225778/1/index.m3u8?fmt=ts2hls
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视,http://39.134.19.68:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
湖南卫视,http://39.134.39.39/TVOD/88888888/224/3221226268/index.m3u8
湖南卫视,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226082/10000100000000060000000002296924_0.smil
江苏卫视,http://117.148.179.37/PLTV/88888888/224/3221228821/index.m3u8
